ID,rodada,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,estadio,mandante_placar,visitante_placar,mandante_estado,visitante_estado,ano,mes,dia_semana,resultado,total_gols
5688,33,2016-10-28,19:30,Fluminense,Vitoria,4-2-3-1,4-3-3,L. Culpi,A. Fucks,-,Maracanã,2,2,RJ,BA,2016,10,Friday,Empate,4
5689,33,2016-10-29,16:31,Atlético-MG,Flamengo,4-2-3-1,4-2-3-1,M. de Oliveira Santos,J. Mannarino,-,Mineirão,2,2,MG,RJ,2016,10,Saturday,Empate,4
5691,33,2016-10-29,16:31,Corinthians,Chapecoense,4-1-4-1,4-1-4-1,O. de Oliveira Filho,L. Saroli Caio Júnior,-,Neo Química Arena,1,1,SP,SC,2016,10,Saturday,Empate,2
5690,33,2016-10-29,16:33,Athletico-PR,Cruzeiro,4-2-3-1,4-3-3,P. Autuori de Mello,L. Venker de Menezes,Athletico-PR,Estádio Joaquim Américo Guimarães,1,0,PR,MG,2016,10,Saturday,Vitória mandante,1
5692,33,2016-10-29,18:30,Botafogo-RJ,Coritiba,4-2-3-1,4-1-4-1,J. Ribeiro Ventura,P. Carpegiani,-,Luso-Brasileiro,0,0,RJ,PR,2016,10,Saturday,Empate,0
5693,33,2016-10-29,18:30,Internacional,Santa Cruz,4-2-3-1,4-2-3-1,C. Juarez Roth,A. Felix Teixeira,-,Estádio José Pinheiro Borda,1,1,RS,PE,2016,10,Saturday,Empate,2
5694,33,2016-10-29,19:34,Figueirense,Gremio,4-3-3,4-2-2-2,M. dos Santos Gonçalves,Renato Gaúcho,-,Orlando Scarpelli,0,0,SC,RS,2016,10,Saturday,Empate,0
5695,33,2016-10-29,19:34,Santos,Palmeiras,4-2-3-1,4-3-3,D. Silvestre Júnior,A. Stival,Santos,Estádio Urbano Caldeira,1,0,SP,SP,2016,10,Saturday,Vitória mandante,1
5696,33,2016-10-31,20:02,America-MG,Sao Paulo,4-1-4-1,4-2-3-1,E. Alves Moreira,R. Gomes Raymundo,America-MG,Estádio Raimundo Sampaio,1,0,MG,SP,2016,10,Monday,Vitória mandante,1
5697,34,2016-11-05,17:00,Flamengo,Botafogo-RJ,4-2-3-1,4-3-1-2,J. Mannarino,J. Ribeiro Ventura,-,Maracanã,0,0,RJ,RJ,2016,11,Saturday,Empate,0
5698,34,2016-11-05,19:31,Sao Paulo,Corinthians,4-2-3-1,4-1-4-1,R. Gomes Raymundo,O. de Oliveira Filho,Sao Paulo,Morumbi,4,0,SP,SP,2016,11,Saturday,Vitória mandante,4
5699,34,2016-11-06,11:01,Ponte Preta,Santos,4-1-4-1,4-2-3-1,E. Baptista,D. Silvestre Júnior,Santos,Moisés Lucarelli,1,2,SP,SP,2016,11,Sunday,Vitória visitante,3
5700,34,2016-11-06,16:59,Santa Cruz,America-MG,4-2-3-1,4-1-4-1,A. Felix Teixeira,E. Alves Moreira,Santa Cruz,Estádio do Arruda,1,0,PE,MG,2016,11,Sunday,Vitória mandante,1
5702,34,2016-11-06,16:59,Palmeiras,Internacional,4-2-3-1,4-2-3-1,A. Stival,C. Juarez Roth,Palmeiras,Allianz Parque,1,0,SP,RS,2016,11,Sunday,Vitória mandante,1
5703,34,2016-11-06,16:59,Vitoria,Athletico-PR,4-3-3,4-2-3-1,A. Fucks,P. Autuori de Mello,Vitoria,Barradão,3,2,BA,PR,2016,11,Sunday,Vitória mandante,5
5701,34,2016-11-06,17:00,Cruzeiro,Fluminense,4-2-3-1,4-2-3-1,L. Venker de Menezes,L. Culpi,Cruzeiro,Mineirão,4,2,MG,RJ,2016,11,Sunday,Vitória mandante,6
5704,34,2016-11-06,19:31,Coritiba,Atlético-MG,4-1-4-1,4-2-3-1,P. Carpegiani,M. de Oliveira Santos,Coritiba,Couto Pereira,2,0,PR,MG,2016,11,Sunday,Vitória mandante,2
5705,34,2016-11-06,19:31,Chapecoense,Figueirense,4-1-4-1,4-1-4-1,L. Saroli Caio Júnior,M. dos Santos Gonçalves,Chapecoense,Arena Condá,1,0,SC,SC,2016,11,Sunday,Vitória mandante,1
5706,34,2016-11-07,20:00,Gremio,Sport,4-2-3-1,4-2-3-1,Renato Gaúcho,D. Pollo Barioni,Sport,Arena do Grêmio,0,3,RS,PE,2016,11,Monday,Vitória visitante,3
5707,35,2016-11-15,16:59,Fluminense,Athletico-PR,4-2-3-1,4-2-3-1,M. de Oliveira,P. Autuori de Mello,-,Maracanã,1,1,RJ,PR,2016,11,Tuesday,Empate,2
5708,35,2016-11-16,19:30,Botafogo-RJ,Chapecoense,4-2-3-1,4-1-4-1,J. Ribeiro Ventura,L. Saroli Caio Júnior,Chapecoense,Luso-Brasileiro,0,2,RJ,SC,2016,11,Wednesday,Vitória visitante,2
5709,35,2016-11-16,21:01,Coritiba,Santa Cruz,4-3-3,4-2-3-1,P. Carpegiani,A. Felix Teixeira,Coritiba,Couto Pereira,1,0,PR,PE,2016,11,Wednesday,Vitória mandante,1
5710,35,2016-11-16,21:45,Sport,Cruzeiro,4-2-3-1,4-2-3-1,D. Pollo Barioni,L. Venker de Menezes,Cruzeiro,Adelmar da Costa Carvalho,0,1,PE,MG,2016,11,Wednesday,Vitória visitante,1
5711,35,2016-11-16,21:45,America-MG,Flamengo,4-1-4-1,4-2-3-1,E. Alves Moreira,J. Mannarino,Flamengo,Mineirão,0,1,MG,RJ,2016,11,Wednesday,Vitória visitante,1
5712,35,2016-11-16,21:45,Figueirense,Corinthians,3-5-1-1,4-1-4-1,M. dos Santos Gonçalves,O. de Oliveira Filho,-,Orlando Scarpelli,1,1,SC,SP,2016,11,Wednesday,Empate,2
5713,35,2016-11-17,19:32,Santos,Vitoria,4-2-3-1,4-2-3-1,D. Silvestre Júnior,A. Fucks,Santos,Estádio Urbano Caldeira,3,2,SP,BA,2016,11,Thursday,Vitória mandante,5
5714,35,2016-11-17,19:33,Sao Paulo,Gremio,4-2-3-1,4-2-3-1,R. Gomes Raymundo,Renato Gaúcho,-,Morumbi,1,1,SP,RS,2016,11,Thursday,Empate,2
5715,35,2016-11-17,20:59,Internacional,Ponte Preta,4-2-3-1,4-1-4-1,C. Juarez Roth,E. Baptista,-,Estádio José Pinheiro Borda,1,1,RS,SP,2016,11,Thursday,Empate,2
5716,35,2016-11-17,21:01,Atlético-MG,Palmeiras,4-2-3-1,4-3-3,M. de Oliveira Santos,A. Stival,-,Estádio Raimundo Sampaio,1,1,MG,SP,2016,11,Thursday,Empate,2
5717,36,2016-11-20,16:59,Vitoria,Figueirense,4-2-3-1,4-2-3-1,A. Fucks,M. dos Santos Gonçalves,Vitoria,Barradão,4,0,BA,SC,2016,11,Sunday,Vitória mandante,4
5718,36,2016-11-20,17:00,Cruzeiro,Santos,4-2-3-1,4-2-3-1,L. Venker de Menezes,D. Silvestre Júnior,-,Mineirão,2,2,MG,SP,2016,11,Sunday,Empate,4
5719,36,2016-11-20,17:00,Palmeiras,Botafogo-RJ,4-2-3-1,4-4-2,A. Stival,J. Ribeiro Ventura,Palmeiras,Allianz Parque,1,0,SP,RJ,2016,11,Sunday,Vitória mandante,1
5721,36,2016-11-20,17:00,Gremio,America-MG,4-2-3-1,4-1-4-1,Renato Gaúcho,E. Alves Moreira,Gremio,Arena do Grêmio,3,0,RS,MG,2016,11,Sunday,Vitória mandante,3
5722,36,2016-11-20,17:02,Ponte Preta,Fluminense,4-1-4-1,4-2-3-1,E. Baptista,M. de Oliveira,Ponte Preta,Moisés Lucarelli,1,0,SP,RJ,2016,11,Sunday,Vitória mandante,1
5720,36,2016-11-20,17:03,Athletico-PR,Sport,4-2-3-1,4-2-3-1,P. Autuori de Mello,D. Pollo Barioni,Athletico-PR,Estádio Joaquim Américo Guimarães,2,0,PR,PE,2016,11,Sunday,Vitória mandante,2
5723,36,2016-11-20,19:29,Flamengo,Coritiba,4-2-3-1,4-4-2,J. Mannarino,P. Carpegiani,-,Maracanã,2,2,RJ,PR,2016,11,Sunday,Empate,4
5724,36,2016-11-20,19:31,Chapecoense,Sao Paulo,4-1-4-1,4-2-3-1,L. Saroli Caio Júnior,R. Gomes Raymundo,Chapecoense,Arena Condá,2,0,SC,SP,2016,11,Sunday,Vitória mandante,2
5725,36,2016-11-20,19:31,Santa Cruz,Atlético-MG,4-1-4-1,4-2-3-1,A. Felix Teixeira,M. de Oliveira Santos,-,Estádio do Arruda,3,3,PE,MG,2016,11,Sunday,Empate,6
